Date,DO,site
5/17/2024 13:00,10.22,Saysells
5/17/2024 14:00,10.28,Saysells
5/17/2024 15:00,10.33,Saysells
5/17/2024 16:00,10.34,Saysells
5/17/2024 17:00,10.34,Saysells
5/17/2024 18:00,10.33,Saysells
5/17/2024 19:00,10.28,Saysells
5/17/2024 20:00,10.21,Saysells
5/17/2024 21:00,10.13,Saysells
5/17/2024 22:00,10.07,Saysells
5/17/2024 23:00,10.03,Saysells
5/18/2024 0:00,9.99,Saysells
5/18/2024 1:00,9.95,Saysells
5/18/2024 2:00,9.93,Saysells
5/18/2024 3:00,9.9,Saysells
5/18/2024 4:00,9.89,Saysells
5/18/2024 5:00,9.86,Saysells
5/18/2024 6:00,9.85,Saysells
5/18/2024 7:00,9.89,Saysells
5/18/2024 8:00,9.96,Saysells
5/18/2024 9:00,10.03,Saysells
5/18/2024 10:00,10.09,Saysells
5/18/2024 11:00,10.13,Saysells
5/18/2024 12:00,10.2,Saysells
5/18/2024 13:00,10.24,Saysells
5/18/2024 14:00,10.17,Saysells
5/18/2024 15:00,10.2,Saysells
5/18/2024 16:00,10.3,Saysells
5/18/2024 17:00,10.3,Saysells
5/18/2024 18:00,10.28,Saysells
5/18/2024 19:00,10.21,Saysells
5/18/2024 20:00,10.16,Saysells
5/18/2024 21:00,10.07,Saysells
5/18/2024 22:00,10.01,Saysells
5/18/2024 23:00,9.99,Saysells
5/19/2024 0:00,9.96,Saysells
5/19/2024 1:00,9.93,Saysells
5/19/2024 2:00,9.9,Saysells
5/19/2024 3:00,9.87,Saysells
5/19/2024 4:00,9.86,Saysells
5/19/2024 5:00,9.85,Saysells
5/19/2024 6:00,9.84,Saysells
5/19/2024 7:00,9.91,Saysells
5/19/2024 8:00,9.98,Saysells
5/19/2024 9:00,10.08,Saysells
5/19/2024 10:00,10.13,Saysells
5/19/2024 11:00,10.19,Saysells
5/19/2024 14:00,10.21,Saysells
5/19/2024 15:00,10.24,Saysells
5/19/2024 16:00,10.29,Saysells
5/19/2024 17:00,10.27,Saysells
5/19/2024 18:00,10.22,Saysells
5/19/2024 19:00,10.2,Saysells
5/19/2024 20:00,10.15,Saysells
5/19/2024 21:00,10.07,Saysells
5/19/2024 22:00,10.01,Saysells
5/19/2024 23:00,9.98,Saysells
5/20/2024 0:00,9.94,Saysells
5/20/2024 1:00,9.91,Saysells
5/20/2024 2:00,9.86,Saysells
5/20/2024 3:00,9.84,Saysells
5/20/2024 4:00,9.83,Saysells
5/20/2024 5:00,9.8,Saysells
5/20/2024 6:00,9.81,Saysells
5/20/2024 7:00,9.85,Saysells
5/20/2024 8:00,9.94,Saysells
5/20/2024 9:00,9.99,Saysells
5/20/2024 10:00,10.02,Saysells
5/20/2024 13:00,10.09,Saysells
5/20/2024 14:00,10.11,Saysells
5/20/2024 15:00,10.17,Saysells
5/20/2024 16:00,10.16,Saysells
5/20/2024 17:00,10.17,Saysells
5/20/2024 18:00,10.18,Saysells
5/20/2024 19:00,10.15,Saysells
5/20/2024 20:00,10.08,Saysells
5/20/2024 21:00,9.98,Saysells
5/20/2024 22:00,9.89,Saysells
5/20/2024 23:00,9.85,Saysells
5/21/2024 0:00,9.84,Saysells
5/21/2024 1:00,9.78,Saysells
5/21/2024 2:00,9.75,Saysells
5/21/2024 3:00,9.72,Saysells
5/21/2024 4:00,9.68,Saysells
5/21/2024 5:00,9.67,Saysells
5/21/2024 6:00,9.66,Saysells
5/21/2024 7:00,9.68,Saysells
5/21/2024 8:00,9.75,Saysells
5/21/2024 9:00,9.81,Saysells
5/21/2024 10:00,9.85,Saysells
5/21/2024 11:00,9.91,Saysells
5/21/2024 12:00,9.98,Saysells
5/21/2024 13:00,10.03,Saysells
5/21/2024 14:00,10.04,Saysells
5/21/2024 15:00,10.1,Saysells
5/21/2024 16:00,10.1,Saysells
5/21/2024 17:00,10.1,Saysells
5/21/2024 18:00,10.11,Saysells
5/21/2024 19:00,10.03,Saysells
5/21/2024 20:00,9.93,Saysells
5/21/2024 21:00,9.85,Saysells
5/21/2024 22:00,9.81,Saysells
5/21/2024 23:00,9.77,Saysells
5/22/2024 0:00,9.76,Saysells
5/22/2024 1:00,9.73,Saysells
5/22/2024 2:00,9.71,Saysells
5/22/2024 3:00,9.68,Saysells
5/22/2024 4:00,9.66,Saysells
5/22/2024 5:00,9.64,Saysells
5/22/2024 6:00,9.63,Saysells
5/22/2024 7:00,9.68,Saysells
5/22/2024 8:00,9.8,Saysells
5/22/2024 9:00,9.84,Saysells
5/22/2024 10:00,9.89,Saysells
5/22/2024 11:00,9.89,Saysells
5/22/2024 13:00,9.96,Saysells
5/22/2024 14:00,10.01,Saysells
5/22/2024 15:00,10.01,Saysells
5/22/2024 16:00,10,Saysells
5/22/2024 17:00,9.98,Saysells
5/22/2024 18:00,9.94,Saysells
5/22/2024 19:00,9.91,Saysells
5/22/2024 20:00,9.86,Saysells
5/22/2024 21:00,9.8,Saysells
5/22/2024 22:00,9.74,Saysells
5/22/2024 23:00,9.71,Saysells
5/23/2024 0:00,9.68,Saysells
5/23/2024 1:00,9.67,Saysells
5/23/2024 2:00,9.66,Saysells
5/23/2024 3:00,9.63,Saysells
5/23/2024 4:00,9.61,Saysells
5/23/2024 5:00,9.6,Saysells
5/23/2024 6:00,9.61,Saysells
5/23/2024 7:00,9.68,Saysells
5/23/2024 8:00,9.74,Saysells
5/23/2024 9:00,9.83,Saysells
5/23/2024 10:00,9.89,Saysells
5/23/2024 13:00,9.95,Saysells
5/23/2024 14:00,9.95,Saysells
5/23/2024 15:00,9.96,Saysells
5/23/2024 16:00,9.95,Saysells
5/23/2024 17:00,9.94,Saysells
5/23/2024 18:00,9.94,Saysells
5/23/2024 19:00,9.93,Saysells
5/23/2024 20:00,9.86,Saysells
5/23/2024 21:00,9.74,Saysells
5/23/2024 22:00,9.66,Saysells
5/23/2024 23:00,9.63,Saysells
5/24/2024 0:00,9.6,Saysells
5/24/2024 1:00,9.58,Saysells
5/24/2024 2:00,9.54,Saysells
5/24/2024 3:00,9.51,Saysells
5/24/2024 4:00,9.48,Saysells
5/24/2024 5:00,9.46,Saysells
5/24/2024 6:00,9.45,Saysells
5/24/2024 7:00,9.49,Saysells
5/24/2024 8:00,9.61,Saysells
5/24/2024 9:00,9.73,Saysells
5/24/2024 10:00,9.82,Saysells
5/24/2024 11:00,9.9,Saysells
5/24/2024 12:00,9.93,Saysells
5/24/2024 13:00,9.91,Saysells
5/24/2024 14:00,9.92,Saysells
5/24/2024 15:00,9.96,Saysells
5/24/2024 16:00,9.95,Saysells
5/24/2024 17:00,10.01,Saysells
5/24/2024 18:00,9.98,Saysells
5/24/2024 19:00,9.9,Saysells
5/24/2024 20:00,9.82,Saysells
5/24/2024 21:00,9.69,Saysells
5/24/2024 22:00,9.64,Saysells
5/24/2024 23:00,9.6,Saysells
5/25/2024 0:00,9.59,Saysells
5/25/2024 1:00,9.57,Saysells
5/25/2024 2:00,9.55,Saysells
