Date,Saysells,70.2 Trestle,HSB,US JUB,DS JUB
5/17/2024 13:00,15.84,15.94,15.8,,
5/17/2024 13:10,15.89,16.01,15.53,,
5/17/2024 13:20,15.94,16.01,15.51,,
5/17/2024 13:30,15.94,15.99,15.6,,
5/17/2024 13:40,15.99,15.96,15.7,,
5/17/2024 13:50,16.03,16.18,15.75,,
5/17/2024 14:00,16.08,16.37,15.82,,
5/17/2024 14:10,16.11,16.51,15.89,,
5/17/2024 14:20,16.15,16.63,15.91,,
5/17/2024 14:30,16.13,16.7,15.94,,
5/17/2024 14:40,16.15,16.68,15.91,,
5/17/2024 14:50,16.13,16.75,15.87,,
5/17/2024 15:00,16.13,16.77,15.8,,
5/17/2024 15:10,16.15,16.77,15.77,,
5/17/2024 15:20,16.15,16.75,15.75,,
5/17/2024 15:30,16.13,16.72,15.82,,
5/17/2024 15:40,16.13,16.72,15.87,,
5/17/2024 15:50,16.11,16.7,15.99,,
5/17/2024 16:00,16.11,16.72,16.11,,
5/17/2024 16:10,16.13,16.72,16.22,,
5/17/2024 16:20,16.13,16.7,16.32,,
5/17/2024 16:30,16.13,16.7,16.39,,
5/17/2024 16:40,16.13,16.68,16.42,,
5/17/2024 16:50,16.15,16.61,16.44,,
5/17/2024 17:00,16.15,16.58,16.46,,
5/17/2024 17:10,16.13,16.53,16.51,,
5/17/2024 17:20,16.11,16.49,16.53,,
5/17/2024 17:30,16.11,16.44,16.56,,
5/17/2024 17:40,16.08,16.39,16.61,,
5/17/2024 17:50,16.08,16.32,16.61,,
5/17/2024 18:00,16.06,16.27,16.63,,
5/17/2024 18:10,16.03,16.2,16.63,,
5/17/2024 18:20,16.01,16.15,16.61,,
5/17/2024 18:30,15.99,16.11,16.56,,
5/17/2024 18:40,15.96,16.03,16.53,,
5/17/2024 18:50,15.94,15.96,16.49,,
5/17/2024 19:00,15.91,15.91,16.44,,
5/17/2024 19:10,15.91,15.84,16.39,,
5/17/2024 19:20,15.89,15.8,16.32,,
5/17/2024 19:30,15.87,15.75,16.27,,
5/17/2024 19:40,15.84,15.7,16.2,,
5/17/2024 19:50,15.84,15.65,16.13,,
5/17/2024 20:00,15.84,15.63,16.06,,
5/17/2024 20:10,15.82,15.58,15.99,,
5/17/2024 20:20,15.8,15.56,15.91,,
5/17/2024 20:30,15.8,15.51,15.84,,
5/17/2024 20:40,15.77,15.46,15.77,,
5/17/2024 20:50,15.75,15.41,15.72,,
5/17/2024 21:00,15.75,15.39,15.65,,
5/17/2024 21:10,15.72,15.34,15.58,,
5/17/2024 21:20,15.72,15.32,15.51,,
5/17/2024 21:30,15.7,15.27,15.44,,
5/17/2024 21:40,15.68,15.25,15.34,,
5/17/2024 21:50,15.68,15.22,15.27,,
5/17/2024 22:00,15.65,15.2,15.2,,
5/17/2024 22:10,15.65,15.17,15.15,,
5/17/2024 22:20,15.63,15.17,15.08,,
5/17/2024 22:30,15.63,15.15,15.01,,
5/17/2024 22:40,15.6,15.13,14.96,,
5/17/2024 22:50,15.6,15.1,14.91,,
5/17/2024 23:00,15.6,15.08,14.86,,
5/17/2024 23:10,15.58,15.08,14.82,,
5/17/2024 23:20,15.58,15.06,14.77,,
5/17/2024 23:30,15.56,15.03,14.74,,
5/17/2024 23:40,15.56,15.03,14.7,,
5/17/2024 23:50,15.56,15.01,14.65,,
5/18/2024 0:00,15.53,15.01,14.6,,
5/18/2024 0:10,15.53,14.98,14.58,,
5/18/2024 0:20,15.51,14.96,14.53,,
5/18/2024 0:30,15.51,14.96,14.51,,
5/18/2024 0:40,15.49,14.94,14.46,,
5/18/2024 0:50,15.49,14.94,14.43,,
5/18/2024 1:00,15.46,14.91,14.39,,
5/18/2024 1:10,15.46,14.89,14.36,,
5/18/2024 1:20,15.44,14.89,14.34,,
5/18/2024 1:30,15.44,14.86,14.29,,
5/18/2024 1:40,15.41,14.86,14.27,,
5/18/2024 1:50,15.41,14.86,14.27,,
